andamentos,andamentos_aleatoriedade
Aguardando realização de audiência ,Aguardando realização de audiência 
Aguardando publicacao,Aguardando publicacao
Aguardando publicacao,Aguardando publicacao
Audiência de conciliação redesignada,Audiência de conciliação redesignada
Audiência de conciliação cancelada,Audiência de conciliação cancelada
Juntada realizada,Juntada realizada
Aguardando realização de audiência ,Aguardando realização de audiência 
Entrada de petição de acompanhamento,Entrada de petição de acompanhamento
Aguardando publicacao,Aguardando publicacao
Audiência de conciliação cancelada,Audiência de conciliação cancelada
Audiência de conciliação designada,Audiência de conciliação designada
Juntada realizada,Juntada realizada
Entrada de petição de acompanhamento,Entrada de petição de acompanhamento
Concluso,Concluso
Recebimento do advogado,Recebimento do advogado
Vista ao advogado,Vista ao advogado
Expediente,Expediente
Aguardando realização de audiência ,Aguardando realização de audiência 
Aguardando publicacao,Aguardando publicacao
Audiência de conciliação marcada,Audiência de conciliação marcada
Concluso,Concluso
Recebimento do advogado,Recebimento do advogado
Decorrendo prazo,Decorrendo prazo
Aguardando publicacao,Aguardando publicacao
Expediente,Expediente
Providências da secretaria,Providências da secretaria
Juntada realizada,Juntada realizada
Entrada de petição de acompanhamento,Entrada de petição de acompanhamento
Decorrendo prazo,Decorrendo prazo
Aguardando devolução de a.r.,Aguardando devolução de a.r.
Providências da secretaria,Providências da secretaria
Expedição de carta de citação,Expedição de carta de citação
Concluso,Concluso
Recebimento do advogado,Recebimento do advogado
Vista ao advogado,Vista ao advogado
Expediente,Expediente
Concluso,Concluso
Concluso,Concluso
Providências da secretaria,Providências da secretaria
Concluso,Concluso
Concluso,Concluso
Carga ao advogado,Carga ao advogado
Juntada de mandado,Juntada de mandado
Aguardando devolução de mandado,Aguardando devolução de mandado
Providências da secretaria,Providências da secretaria
Aguardando,Aguardando
Expedição de mandado,Expedição de mandado
Concluso,Concluso
Concluso,Concluso
Providências da secretaria,Providências da secretaria
Distribuição automática,Distribuição automática
Em classificação,Em classificação
Permitir distribuição,Permitir distribuição
Protocolado,Protocolado
Decorrido prazo de COELCE em 21/01/2019 23:59:59.,Decorrido prazo de COELCE em 21/01/2019 23:59:59.
Decorrido prazo de JOSE ROSENO NETO em 04/02/2019 23:59:59.,Decorrido prazo de JOSE ROSENO NETO em 04/02/2019 23:59:59.
Juntada de certidão,Juntada de certidão
Juntada de Petição de petição,Juntada de Petição de petição
Conclusos para julgamento,Conclusos para julgamento
Juntada de certidão,Juntada de certidão
Juntada de Petição de contestação,Juntada de Petição de contestação
Audiência conciliação realizada para   29/11/2018 13:40 02ª Unidade do Juizado Especial Cível.,Audiência conciliação realizada para   29/11/2018 13:40 02ª Unidade do Juizado Especial Cível.
Juntada de Petição de petição,Juntada de Petição de petição
Juntada de documento de comprovação,Juntada de documento de comprovação
Expedição de Outros documentos.,Expedição de Outros documentos.
Expedição de Outros documentos.,Expedição de Outros documentos.
Audiência conciliação designada para   29/11/2018 13:40 02ª Unidade do Juizado Especial Cível.,Audiência conciliação designada para   29/11/2018 13:40 02ª Unidade do Juizado Especial Cível.
Distribuído por sorteio,Distribuído por sorteio
Remetido Recurso Eletrônico ao Tribunal de Justiça,Remetido Recurso Eletrônico ao Tribunal de Justiça
Recebido Recurso Eletrônico,Recebido Recurso Eletrônico
