andamentos_certos,andamentos_errados
Juntada de Aviso de Recebimento (AR),Encaminhado edital/relação para publicação
Juntada de documento,Certidão emitida
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Audiência Designada
Juntada de documento,Sessão de Conciliação não-realizada
Juntada de documento,Juntada de documento
Juntada de documento,Certidão emitida
Juntada de documento,Juntada de Aviso de Recebimento (AR)
Juntada de mandado,Certidão emitida
Juntada de documento,Conclusos
Juntada de documento,Certidão emitida
Juntada de documento,Remetidos os Autos para o Distribuidor Local
Juntada de documento,Processo Redistribuído por Sorteio
Juntada de documento,Concluso para Decisão Interlocutória
Juntada de documento,Juntada de Petição
Juntada de documento,Concluso para Despacho
Juntada de documento,Concluso para Despacho
Juntada de Aviso de Recebimento (AR),Audiência Designada
Juntada de documento,Concluso para Decisão Interlocutória
Juntada de Aviso de Recebimento (AR),Decisão Proferida
Juntada de documento,Certidão emitida
Juntada de Aviso de Recebimento (AR),Expedida carta precatória
Juntada de documento,Encaminhado edital/relação para publicação
Juntada de documento,Encaminhado edital/relação para publicação
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Juntada de documento
Juntada de documento,Concluso para Despacho
Juntada de documento,Outras Decisões
Juntada de documento,Proferido despacho de mero expediente
Juntada de documento,Encaminhado edital/relação para publicação
Juntada de Aviso de Recebimento (AR),Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de Aviso de Recebimento (AR),Decorrido prazo
Juntada de documento,Juntada de Petição
Juntada de documento,Juntada de documento
Juntada de documento,Juntada de documento
Juntada de documento,Juntada de documento
Juntada de documento,Processo Distribuído por Sorteio
Juntada de documento,Conclusos
Juntada de documento,Decisão Proferida
Juntada de Petição,Encaminhado edital/relação para publicação
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Expedição de Carta
Juntada de documento,Certidão emitida
Juntada de Petição,Juntada de Aviso de Recebimento (AR)
Juntada de documento,Juntada de Aviso de Recebimento Digital (Cumprido)
Juntada de mandado,Juntada de Petição
Juntada de documento,Conclusos
Juntada de documento,Proferido despacho de mero expediente
Juntada de mandado,Encaminhado edital/relação para publicação
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de mandado,Juntada de Petição
Juntada de documento,Conclusos
Juntada de mandado,Proferido despacho de mero expediente
Juntada de documento,Encaminhado edital/relação para publicação
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de Aviso de Recebimento (AR),Conclusos
Juntada de Aviso de Recebimento (AR),Expedição de Ato Ordinatório
Juntada de documento,Expedição de Carta
Juntada de documento,Encaminhado edital/relação para publicação
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Expedição de Ato Ordinatório
Juntada de documento,Expedição de Carta
Juntada de documento,Encaminhado edital/relação para publicação
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de Petição,Certidão emitida
Juntada de documento,Juntada de Aviso de Recebimento (AR)
Juntada de documento,Juntada de Aviso de Recebimento Digital (Cumprido)
Juntada de documento,Certidão emitida
Juntada de Aviso de Recebimento (AR),Certidão emitida
Juntada de documento,Remetidos os Autos para o Distribuidor Local
Juntada de documento,Processo Redistribuído por Sorteio
Juntada de Aviso de Recebimento (AR),Juntada de Petição
