andamentos_certos,andamentos_errados
Decorrido prazo,Transitado em julgado em 09/03/2020
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Arquivado Definitivamente
Expedição de Carta,Distribuído por sorteio
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Audiência conciliação designada para   02/09/2019 10:10 Vara Única da Comarca de Aracoiaba.
Encaminhado edital/relação para publicação,Expedição de Outros documentos.
Certidão emitida,Conclusos para decisão
Encaminhado edital/relação para publicação,Proferido despacho de mero expediente
Proferido despacho de mero expediente,Juntada de certidão
Audiência Designada,Expedição de Citação.
Concluso para Despacho,Juntada de Petição de contestação
Processo Redistribuído por Sorteio,Juntada de Petição de documento de identificação
Remetidos os Autos para o Distribuidor Local,Juntada de Petição de petição
Certidão emitida,Audiência conciliação realizada para   02/09/2019 10:10 Vara Única da Comarca de Aracoiaba.
Concluso para Despacho,Juntada de Petição de réplica
Juntada de Aviso de Recebimento (AR),Conclusos para despacho
Juntada de Aviso de Recebimento (AR),Expedição de Outros documentos.
Juntada de documento,Juntada de Petição de petição
Juntada de documento,Decorrido prazo de ENY ANGE SOLEDADE BITTENCOURT DE ARAUJO em 06/12/2019 23:59:59.
Expedição de Termo de Audiência,Decorrido prazo de SUELLEN NATASHA PINHEIRO CORREA em 16/12/2019 23:59:59.
Audiência Designada,Juntada de certidão
Juntada de Aviso de Recebimento (AR),Conclusos para despacho
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Julgado improcedente o pedido
Encaminhado edital/relação para publicação,Expedição de Outros documentos.
Certidão emitida,Decorrido prazo de ENY ANGE SOLEDADE BITTENCOURT DE ARAUJO em 18/02/2020 23:59:59.
Expedição de Carta,Decorrido prazo de SUELLEN NATASHA PINHEIRO CORREA em 05/03/2020 23:59:59.
Expedição de Carta,Transitado em julgado em 09/03/2020
Expedição de Ato Ordinatório,Arquivado Definitivamente
Juntada de Petição,Distribuído por sorteio
Proferido despacho de mero expediente,Audiência conciliação designada para   02/09/2019 10:10 Vara Única da Comarca de Aracoiaba.
Concluso para Despacho,Expedição de Outros documentos.
Juntada de documento,Conclusos para decisão
Juntada de documento,Proferido despacho de mero expediente
Juntada de documento,Juntada de certidão
Juntada de documento,Expedição de Citação.
Juntada de Petição,Juntada de Petição de contestação
Juntada de documento,Juntada de Petição de documento de identificação
Juntada de documento,Juntada de Petição de petição
Juntada de documento,Audiência conciliação realizada para   02/09/2019 10:10 Vara Única da Comarca de Aracoiaba.
Juntada de documento,Juntada de Petição de réplica
Juntada de documento,Conclusos para despacho
Juntada de documento,Expedição de Outros documentos.
Juntada de Petição,Juntada de Petição de petição
Juntada de documento,Decorrido prazo de ENY ANGE SOLEDADE BITTENCOURT DE ARAUJO em 06/12/2019 23:59:59.
Juntada de documento,Decorrido prazo de SUELLEN NATASHA PINHEIRO CORREA em 16/12/2019 23:59:59.
Juntada de documento,Juntada de certidão
Juntada de documento,Conclusos para despacho
Juntada de Petição,Julgado improcedente o pedido
Juntada de documento,Expedição de Outros documentos.
Juntada de documento,Decorrido prazo de ENY ANGE SOLEDADE BITTENCOURT DE ARAUJO em 18/02/2020 23:59:59.
Juntada de documento,Decorrido prazo de SUELLEN NATASHA PINHEIRO CORREA em 05/03/2020 23:59:59.
Juntada de documento,Transitado em julgado em 09/03/2020
Juntada de documento,Arquivado Definitivamente
Juntada de Petição,Distribuído por sorteio
Juntada de documento,Audiência conciliação designada para   16/09/2019 10:30 18ª Unidade do Juizado Especial Cível.
Juntada de Aviso de Recebimento (AR),Conclusos para decisão
Juntada de documento,Juntada de intimação
Juntada de documento,Concedida a Antecipação de tutela
Juntada de documento,Expedição de Citação.
Juntada de documento,Juntada de documento de comprovação
Juntada de documento,Juntada de Petição de petição
Juntada de documento,Audiência conciliação realizada para   16/09/2019 10:30 18ª Unidade do Juizado Especial Cível.
Juntada de documento,Conclusos para despacho
Juntada de documento,Proferido despacho de mero expediente
Juntada de documento,Juntada de Petição de contestação
Juntada de documento,Distribuído por sorteio
Juntada de documento,Audiência conciliação designada para   16/09/2019 10:30 18ª Unidade do Juizado Especial Cível.
Remetidos os Autos,Conclusos para decisão
Despacho,Juntada de intimação
Proferido despacho de mero expediente,Concedida a Antecipação de tutela
Concluso para Despacho,Expedição de Citação.
Decorrido prazo,Juntada de documento de comprovação
Juntada de Petição,Juntada de Petição de petição
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Audiência conciliação realizada para   16/09/2019 10:30 18ª Unidade do Juizado Especial Cível.
Encaminhado edital/relação para publicação,Conclusos para despacho
Proferido despacho de mero expediente,Proferido despacho de mero expediente
Concluso ao juiz,Juntada de Petição de contestação
Decorrido prazo,Distribuído por sorteio
Entrada de petição de acompanhamento,Audiência conciliação designada para   16/09/2019 10:30 18ª Unidade do Juizado Especial Cível.
Expedição de documento,Conclusos para decisão
Expedição de documento,Juntada de intimação
Expedição de documento,Concedida a Antecipação de tutela
Entrada de petição de acompanhamento,Expedição de Citação.
Juntada de documento,Juntada de documento de comprovação
Entrada de petição de acompanhamento,Juntada de Petição de petição
Expedição de documento,Audiência conciliação realizada para   16/09/2019 10:30 18ª Unidade do Juizado Especial Cível.
Expedição de documento,Conclusos para despacho
Expedição de documento,Proferido despacho de mero expediente
Concluso ao juiz,Juntada de Petição de contestação
Concluso ao juiz,Distribuído por sorteio
Distribuição por sorteio,Audiência conciliação designada para   16/09/2019 10:30 18ª Unidade do Juizado Especial Cível.
Processo apto a ser distribuído,Conclusos para decisão
Em classificação,Juntada de intimação
Protocolizada Petição,Concedida a Antecipação de tutela
Concluso para Decisão Interlocutória,Expedição de Citação.
Juntada de Petição,Juntada de documento de comprovação
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de Petição de petição
Encaminhado edital/relação para publicação,Audiência conciliação realizada para   16/09/2019 10:30 18ª Unidade do Juizado Especial Cível.
Convertido(a) o(a) Julgamento em Diligência,Conclusos para despacho
Conclusos,Proferido despacho de mero expediente
Expedição de Termo de Audiência,Juntada de Petição de contestação
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Distribuído por sorteio
Audiência Designada,Audiência conciliação designada para   16/09/2019 10:30 18ª Unidade do Juizado Especial Cível.
Encaminhado edital/relação para publicação,Conclusos para decisão
Proferido despacho de mero expediente,Juntada de intimação
Concluso para Sentença,Concedida a Antecipação de tutela
Concluso para Despacho,Expedição de Citação.
Certidão emitida,Juntada de documento de comprovação
Juntada de documento,Juntada de Petição de petição
Conclusos,Audiência conciliação realizada para   16/09/2019 10:30 18ª Unidade do Juizado Especial Cível.
Expedição de Mandado,Conclusos para despacho
Expedição de Ato Ordinatório,Proferido despacho de mero expediente
Juntada de Petição,Juntada de Petição de contestação
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Distribuído por sorteio
Encaminhado edital/relação para publicação,Audiência conciliação designada para   16/09/2019 10:30 18ª Unidade do Juizado Especial Cível.
Expedição de Ato Ordinatório,Conclusos para decisão
Juntada de documento,Juntada de intimação
Expedição de Mandado,Concedida a Antecipação de tutela
Expedição de Ato Ordinatório,Expedição de Citação.
Juntada de documento,Juntada de documento de comprovação
Juntada de Petição,Juntada de Petição de petição
Juntada de Petição,Audiência conciliação realizada para   16/09/2019 10:30 18ª Unidade do Juizado Especial Cível.
Juntada de documento,Conclusos para despacho
Juntada de documento,Proferido despacho de mero expediente
Juntada de documento,Juntada de Petição de contestação
Juntada de documento,Conclusos
Juntada de documento,Processo Distribuído por Sorteio
Juntada de documento,Citação ou notificação da parte
Juntada de documento,Expedição de Carta
Juntada de documento,Encaminhado edital/relação para publicação
Juntada de documento,Certidão emitida
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Juntada de Aviso de Recebimento (AR)
Juntada de documento,Remetidos os Autos para o Distribuidor Local
Juntada de documento,Processo Redistribuído por Sorteio
Juntada de documento,Proferido despacho de mero expediente
Juntada de documento,Encaminhado edital/relação para publicação
Juntada de documento,Expedição de Mandado
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Juntada de mandado
juntada de,Concluso para Despacho
Expedição de Mandado,Concluso para Sentença
Concluso para Sentença,Proferido despacho de mero expediente
Decorrido prazo,Encaminhado edital/relação para publicação
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Encaminhado edital/relação para publicação,Conclusos
Proferido despacho de mero expediente,Concluso para Sentença
Ato Ordinatório - Intimação dos Advogados das Partes,Extinto o processo por abandono da causa pelo autor
Concluso para Despacho,Encaminhado edital/relação para publicação
Conclusos,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
juntada de,Decorrido prazo
Recebidos os autos,Transitado em Julgado
Autos Entregues em Carga ao Advogado,Certidão emitida
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Arquivado Definitivamente
Encaminhado edital/relação para publicação,Prazo alterado pelo ajuste na tabela de feriados
Proferido despacho de mero expediente,Proferido despacho de mero expediente
juntada de,Processo Distribuído por Sorteio
Conclusos,Conclusos
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Expedição de Carta
juntada de,Expedição de Carta
Encaminhado edital/relação para publicação,Juntada de Aviso de Recebimento (AR)
juntada de,Juntada de Petição
juntada de,Conclusos
Concluso para Despacho,Juntada de Aviso de Recebimento (AR)
Conclusos,Remetidos os Autos para o Distribuidor Local
Expedição de Carta,Processo Redistribuído por Sorteio
Proferido despacho de mero expediente,Expedição de Ato Ordinatório
Expedição de Carta,Encaminhado edital/relação para publicação
Concluso para Despacho,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Recebidos os autos,Decorrido prazo
Processo Distribuído por Sorteio,Concluso para Despacho
Remetidos os Autos,Proferido despacho de mero expediente
Conclusos,Encaminhado edital/relação para publicação
Expedição de Termo de Audiência,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de Petição,Juntada de Petição
Certidão emitida,Certidão emitida
Juntada de Aviso de Recebimento (AR),Remetidos os Autos para o Distribuidor Local
Expedição de Carta,Processo Redistribuído por Sorteio
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Conclusos
Audiência Designada,Concluso para Despacho
Encaminhado edital/relação para publicação,Decisão Proferida
Proferido despacho de mero expediente,Encaminhado edital/relação para publicação
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Certidão emitida,Concluso para Despacho
Expedição de Ato Ordinatório,Decisão Proferida
Certidão emitida,Concluso para Despacho
Conclusos,Audiência Designada
Processo Redistribuído por Sorteio,Outras Decisões
Remetidos os Autos para o Distribuidor Local,Expedição de Mandado
Certidão emitida,Encaminhado edital/relação para publicação
Conclusos,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Decorrido prazo,Juntada de documento
Certidão emitida,Certidão emitida
Juntada de Aviso de Recebimento (AR),Juntada de documento
Expedição de Carta,Juntada de Laudo Pericial
Expedição de Ato Ordinatório,Concluso para Decisão Interlocutória
Juntada de Petição,Outras Decisões
Juntada de Petição,Juntada de Petição
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Encaminhado edital/relação para publicação
Encaminhado edital/relação para publicação,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Expedição de Ato Ordinatório,Prazo alterado pelo ajuste na tabela de feriados
Juntada de Petição,Juntada de Petição
Juntada de Petição,Distribuído por sorteio
Certidão emitida,Audiência conciliação designada para   05/11/2019 10:00 22ª Unidade do Juizado Especial Cível.
Juntada de Aviso de Recebimento (AR),Audiência conciliação cancelada para   05/11/2019 10:00 #Não preenchido#.
Concluso para Despacho,Audiência conciliação e instrução e julgamento cível - una designada para   06/11/2019 09:00 22ª Unidade do Juizado Especial Cível.
Juntada de Aviso de Recebimento (AR),Juntada de certidão
Certidão emitida,Expedição de Citação.
Expedição de Carta,Juntada de Petição de petição
Expedição de Carta,Audiência Conciliação e Instrução e Julgamento Cível - Una cancelada para 06/11/2019 09:00 22ª Unidade do Juizado Especial Cível.
Citação ou notificação da parte,Conclusos para julgamento
Certidão emitida,Homologada a Transação
Juntada de Petição,Expedição de Outros documentos.
Conclusos,Arquivado Definitivamente
Processo Distribuído por Sorteio,Decorrido prazo de DANIEL SCARANO DO AMARAL em 14/11/2019 23:59:59.
Juntada de documento,Distribuído por sorteio
Juntada de documento,Audiência conciliação designada para   05/11/2019 10:00 22ª Unidade do Juizado Especial Cível.
Juntada de Petição,Audiência conciliação cancelada para   05/11/2019 10:00 #Não preenchido#.
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Audiência conciliação e instrução e julgamento cível - una designada para   06/11/2019 09:00 22ª Unidade do Juizado Especial Cível.
Encaminhado edital/relação para publicação,Juntada de certidão
Proferido despacho de mero expediente,Expedição de Citação.
Juntada de Aviso de Recebimento (AR),Juntada de Petição de petição
Conclusos,Audiência Conciliação e Instrução e Julgamento Cível - Una cancelada para 06/11/2019 09:00 22ª Unidade do Juizado Especial Cível.
Certidão emitida,Conclusos para julgamento
Certidão emitida,Homologada a Transação
Certidão emitida,Expedição de Outros documentos.
Extinto o processo por desistência,Arquivado Definitivamente
Concluso para Sentença,Decorrido prazo de DANIEL SCARANO DO AMARAL em 14/11/2019 23:59:59.
Recebidos os autos,Distribuído por sorteio
Expedição de Termo de Audiência,Audiência conciliação designada para   05/11/2019 10:00 22ª Unidade do Juizado Especial Cível.
juntada de,Audiência conciliação cancelada para   05/11/2019 10:00 #Não preenchido#.
Recebidos os autos,Audiência conciliação e instrução e julgamento cível - una designada para   06/11/2019 09:00 22ª Unidade do Juizado Especial Cível.
Autos entregues com carga/vista ao administrador judicial,Juntada de certidão
Processo apto a ser redistribuído,Expedição de Citação.
Redistribuição por encaminhamento,Juntada de Petição de petição
Recebidos os autos,Audiência Conciliação e Instrução e Julgamento Cível - Una cancelada para 06/11/2019 09:00 22ª Unidade do Juizado Especial Cível.
Concluso ao juiz,Conclusos para julgamento
Autuação,Homologada a Transação
Processo apto a ser distribuído,Expedição de Outros documentos.
Em classificação,Arquivado Definitivamente
Distribuição por encaminhamento,Decorrido prazo de DANIEL SCARANO DO AMARAL em 14/11/2019 23:59:59.
Protocolizada Petição,Distribuído por sorteio
Expedição de Ofício,Audiência conciliação designada para   05/11/2019 10:00 22ª Unidade do Juizado Especial Cível.
Juntada de Petição,Audiência conciliação cancelada para   05/11/2019 10:00 #Não preenchido#.
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Audiência conciliação e instrução e julgamento cível - una designada para   06/11/2019 09:00 22ª Unidade do Juizado Especial Cível.
Encaminhado edital/relação para publicação,Juntada de certidão
Embargos de Declaração Acolhidos em Parte,Expedição de Citação.
Concluso para Sentença,Juntada de Petição de petição
Juntada de Petição,Audiência Conciliação e Instrução e Julgamento Cível - Una cancelada para 06/11/2019 09:00 22ª Unidade do Juizado Especial Cível.
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Conclusos para julgamento
Encaminhado edital/relação para publicação,Homologada a Transação
Proferido despacho de mero expediente,Expedição de Outros documentos.
Juntada de Petição,Arquivado Definitivamente
Juntada de Petição,Decorrido prazo de DANIEL SCARANO DO AMARAL em 14/11/2019 23:59:59.
Certidão emitida,Distribuído por sorteio
Certidão emitida,Audiência conciliação designada para   05/11/2019 10:00 22ª Unidade do Juizado Especial Cível.
Remessa dos autos à Vara de Origem,Audiência conciliação cancelada para   05/11/2019 10:00 #Não preenchido#.
Recebidos os Autos pela Unidade Judiciária,Audiência conciliação e instrução e julgamento cível - una designada para   06/11/2019 09:00 22ª Unidade do Juizado Especial Cível.
Recebidos os Autos pelo Advogado,Juntada de certidão
Autos Entregues em Carga ao Advogado,Expedição de Citação.
Juntada de Petição,Juntada de Petição de petição
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Audiência Conciliação e Instrução e Julgamento Cível - Una cancelada para 06/11/2019 09:00 22ª Unidade do Juizado Especial Cível.
Encaminhado edital/relação para publicação,Conclusos para julgamento
Julgado procedente em parte do pedido,Homologada a Transação
Concluso para Sentença,Expedição de Outros documentos.
Juntada de Petição,Arquivado Definitivamente
Expedição de Termo de Audiência,Decorrido prazo de DANIEL SCARANO DO AMARAL em 14/11/2019 23:59:59.
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Distribuído por sorteio
Encaminhado edital/relação para publicação,Audiência conciliação designada para   05/11/2019 10:00 22ª Unidade do Juizado Especial Cível.
Audiência Designada,Audiência conciliação cancelada para   05/11/2019 10:00 #Não preenchido#.
Audiência Designada,Audiência conciliação e instrução e julgamento cível - una designada para   06/11/2019 09:00 22ª Unidade do Juizado Especial Cível.
Proferido despacho de mero expediente,Juntada de certidão
Concluso para Sentença,Expedição de Citação.
Juntada de Petição,Juntada de Petição de petição
Certidão emitida,Audiência Conciliação e Instrução e Julgamento Cível - Una cancelada para 06/11/2019 09:00 22ª Unidade do Juizado Especial Cível.
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Conclusos para julgamento
Encaminhado edital/relação para publicação,Homologada a Transação
Proferido despacho de mero expediente,Expedição de Outros documentos.
Concluso para Sentença,Arquivado Definitivamente
Juntada de documento,Decorrido prazo de DANIEL SCARANO DO AMARAL em 14/11/2019 23:59:59.
Proferido despacho de mero expediente,Distribuído por sorteio
Concluso ao juiz,Audiência conciliação designada para   20/09/2019 11:10 05ª Unidade do Juizado Especial Cível.
Juntada de documento,Expedição de Aviso de recebimento (AR).
Juntada de documento,Expedição de Aviso de recebimento (AR).
Juntada de documento,Juntada de certidão
Juntada de documento,Juntada de certidão
Juntada de documento,Juntada de Petição de petição
Juntada de documento,Audiência conciliação realizada para   20/09/2019 11:10 05ª Unidade do Juizado Especial Cível.
Concluso ao juiz,Juntada de Petição de contestação
Juntada de documento,Juntada de Petição de réplica
Juntada de documento,Distribuído por sorteio
Concluso ao juiz,Audiência conciliação designada para   20/09/2019 11:10 05ª Unidade do Juizado Especial Cível.
Juntada de documento,Expedição de Aviso de recebimento (AR).
Concluso ao juiz,Expedição de Aviso de recebimento (AR).
Juntada de petição de acompanhamento,Juntada de certidão
Juntada de documento,Juntada de certidão
Recebidos os autos,Juntada de Petição de petição
Entrada de petição de acompanhamento,Audiência conciliação realizada para   20/09/2019 11:10 05ª Unidade do Juizado Especial Cível.
Autos entregues com carga/vista ao advogado,Juntada de Petição de contestação
Juntada de petição de acompanhamento,Juntada de Petição de réplica
Entrada de petição de acompanhamento,Distribuído por sorteio
Concluso ao juiz,Audiência conciliação designada para   20/09/2019 11:10 05ª Unidade do Juizado Especial Cível.
Mandado devolvido cumprido com finalidade atingida,Expedição de Aviso de recebimento (AR).
Juntada de documento,Expedição de Aviso de recebimento (AR).
Juntada de documento,Juntada de certidão
Recebido o Mandado para Cumprimento,Juntada de certidão
Juntada de documento,Juntada de Petição de petição
Despacho/decisão enviado para disponibilização no diário da justiça eletrônico,Audiência conciliação realizada para   20/09/2019 11:10 05ª Unidade do Juizado Especial Cível.
Juntada de documento,Juntada de Petição de contestação
Concluso ao juiz,Juntada de Petição de réplica
Audiência de conciliação realizada,Distribuído por sorteio
Despacho/decisão enviado para disponibilização no diário da justiça eletrônico,Audiência conciliação designada para   20/09/2019 11:10 05ª Unidade do Juizado Especial Cível.
Juntada de documento,Expedição de Aviso de recebimento (AR).
Concluso ao juiz,Expedição de Aviso de recebimento (AR).
Juntada de documento,Juntada de certidão
Expedição de documento,Juntada de certidão
Juntada de documento,Juntada de Petição de petição
Juntada de documento,Audiência conciliação realizada para   20/09/2019 11:10 05ª Unidade do Juizado Especial Cível.
Juntada de documento,Juntada de Petição de contestação
Juntada de documento,Juntada de Petição de réplica
Despacho/decisão disponibilizado no diário da justiça eletrônico,Distribuído por sorteio
Despacho/decisão enviado para disponibilização no diário da justiça eletrônico,Audiência conciliação designada para   20/09/2019 11:10 05ª Unidade do Juizado Especial Cível.
Juntada de documento,Expedição de Aviso de recebimento (AR).
Juntada de documento,Expedição de Aviso de recebimento (AR).
Despacho/decisão enviado para disponibilização no diário da justiça eletrônico,Juntada de certidão
Expedição de documento,Juntada de certidão
Juntada de petição de acompanhamento,Juntada de Petição de petição
Juntada de petição de acompanhamento,Audiência conciliação realizada para   20/09/2019 11:10 05ª Unidade do Juizado Especial Cível.
Despacho/decisão disponibilizado no diário da justiça eletrônico,Juntada de Petição de contestação
Entrada de petição de acompanhamento,Juntada de Petição de réplica
Entrada de petição de acompanhamento,Distribuído por sorteio
Audiência de conciliação designada,Audiência conciliação designada para   20/09/2019 11:10 05ª Unidade do Juizado Especial Cível.
Juntada de documento,Expedição de Aviso de recebimento (AR).
Concluso ao juiz,Expedição de Aviso de recebimento (AR).
Despacho/decisão enviado para disponibilização no diário da justiça eletrônico,Juntada de certidão
Juntada de documento,Juntada de certidão
Juntada de documento,Juntada de Petição de petição
Concluso ao juiz,Audiência conciliação realizada para   20/09/2019 11:10 05ª Unidade do Juizado Especial Cível.
Autuação,Juntada de Petição de contestação
Em classificação,Juntada de Petição de réplica
Distribuição por encaminhamento,Protocolizada Petição
Processo apto a ser distribuído,Processo apto a ser distribuído
Protocolizada Petição,Em classificação
Recebidos os autos,Distribuição por sorteio
Remetidos os Autos,Concluso ao juiz
Processo Redistribuído por Encaminhamento,Juntada de documento
Recebido pelo Distribuidor,Concluso ao juiz
Remessa dos Autos - Redistribuição para varas não virtualizadas,Extinto o processo por desistência
Remessa dos Autos - Redistribuição para varas não virtualizadas,Autos entregues com carga/vista ao advogado
Concluso para Despacho,Recebidos os autos
Juntada de Petição,Concluso ao juiz
Remessa dos autos à Vara de Origem,Homologada a Transação
Recebidos os Autos pela Unidade Judiciária,Despacho/decisão enviado para disponibilização no diário da justiça eletrônico
Prazo alterado pelo ajuste na tabela de feriados,Despacho/decisão disponibilizado no diário da justiça eletrônico
Autos Entregues em Carga ao Advogado,Concluso ao juiz
Recebidos os Autos pelo Advogado,Juntada de documento
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de documento
Encaminhado edital/relação para publicação,Juntada de documento
Encaminhado edital/relação para publicação,Concluso ao juiz
Proferido despacho de mero expediente,Homologada a Transação
Concluso para Despacho,Despacho/decisão enviado para disponibilização no diário da justiça eletrônico
Juntada de Petição,Despacho/decisão disponibilizado no diário da justiça eletrônico
Expedição de Termo de Audiência,Concluso ao juiz
Juntada de Petição,Juntada de documento
Despacho,Despacho/decisão enviado para disponibilização no diário da justiça eletrônico
Concluso ao juiz,Despacho/decisão disponibilizado no diário da justiça eletrônico
Juntada de petição de acompanhamento,Juntada de documento
Entrada de petição de acompanhamento,Expedição de documento
Despacho/decisão disponibilizado no diário da justiça eletrônico,Expedição de documento
Juntada de documento,Recebido o Mandado para Cumprimento
Expedição de documento,Recebido o Mandado para Cumprimento
Expedição de documento,Mandado devolvido cumprido com finalidade não atingida
Audiência de conciliação designada,Juntada de documento
Juntada de documento,Autos entregues com carga/vista ao advogado
Concluso ao juiz,Recebidos os autos
Juntada de petição de acompanhamento,Entrada de petição de acompanhamento
Juntada de documento,Juntada de petição de acompanhamento
Entrada de petição de acompanhamento,Concluso ao juiz
Autuação,Entrada de petição de acompanhamento
Concluso ao juiz,Concluso ao juiz
Distribuição por sorteio,Juntada de documento
Em classificação,Expedição de documento
Processo apto a ser distribuído,Recebido o Mandado para Cumprimento
Protocolizada Petição,Juntada de documento
Concluso para Decisão Interlocutória,Juntada de documento
Decorrido prazo,Concluso ao juiz
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de documento
Encaminhado edital/relação para publicação,Despacho/decisão enviado para disponibilização no diário da justiça eletrônico
Proferido despacho de mero expediente,Despacho/decisão disponibilizado no diário da justiça eletrônico
Concluso para Despacho,Juntada de petição de acompanhamento
Expedição de Termo de Audiência,Decorrido prazo
Juntada de Petição,Concluso ao juiz
Juntada de Aviso de Recebimento Digital (Cumprido),Certidão emitida
Audiência Designada,Concluso para Despacho
Certidão emitida,Transitado em Julgado
Juntada de Aviso de Recebimento (AR),Concluso para Despacho
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Proferido despacho de mero expediente
Encaminhado edital/relação para publicação,Certidão emitida
Expedição de Carta,Encaminhado edital/relação para publicação
Proferido despacho de mero expediente,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Conclusos,Juntada de Petição
Processo Distribuído por Sorteio,Expedição de Ato Ordinatório
Concluso para Despacho,Certidão emitida
Certidão emitida,Autos Entregues em Carga ao Advogado
Concluso para Sentença,Juntada de Petição
Juntada de Petição,Autos entregues em carga
Juntada de Petição,Recebidos os Autos pelo Advogado
Certidão emitida,Juntada de Petição
Juntada de Petição,Concluso para Despacho
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Concluso para Despacho
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Conclusos
Encaminhado edital/relação para publicação,Conclusos
Encaminhado edital/relação para publicação,Certidão emitida
Certidão emitida,Remetidos os Autos para o Distribuidor Local
Decisão Proferida,Decisão Proferida
Concluso para Decisão Interlocutória,Processo Redistribuído por Sorteio
Juntada de Petição,Concluso para Despacho
Certidão emitida,Proferido despacho de mero expediente
Juntada de Aviso de Recebimento (AR),Certidão emitida
Certidão emitida,Encaminhado edital/relação para publicação
Certidão emitida,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de Petição,Juntada de Petição
Proferido despacho de mero expediente,Concluso para Despacho
Concluso para Despacho,Proferido despacho de mero expediente
Remessa dos Autos a Vara de Origem - Central de Conciliação,Certidão emitida
Sessão de Conciliação realizada sem êxito,Juntada de documento
Juntada de documento,Juntada de documento
Juntada de Petição,Protocolizada Petição
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Em classificação
Encaminhado edital/relação para publicação,Distribuição por encaminhamento
Certidão emitida,Processo apto a ser distribuído
Juntada de Aviso de Recebimento (AR),Autuação
Proferido despacho de mero expediente,Concluso ao juiz
Concluso para Decisão Interlocutória,Juntada de documento
Juntada de Petição,Juntada de documento
Juntada de Petição,Juntada de documento
Expedição de Carta,Concluso ao juiz
Expedição de Carta,Juntada de documento
Certidão emitida,Concluso ao juiz
Expedição de Ato Ordinatório,Juntada de documento
